Symbol,Last_Price,Volume_Avg,VWAP,Last_Updated
PPLPHARMA,202.7,1481087.86,202.76,13:04:25
PRAJIND,499.65,224686.71,499.57,13:04:25
PREMIERENE,1059.0,408244.89,1060.64,13:04:25
PRESTIGE,1619.9,325269.29,1620.62,13:04:28
PTCIL,14958.0,18676.14,15105.78,13:04:28
PVRINOX,971.5,101757.17,970.72,13:04:28
RADICO,2575.9,97592.2,2579.05,12:52:36
RAILTEL,422.25,1250664.5,422.22,12:46:36
RAINBOW,1554.8,68478.14,1551.93,12:52:36
RAMCOCEM,1075.9,90626.43,1076.76,12:52:36
RAYMOND,731.05,2516476.38,730.98,12:58:26
RAYMONDLSL,1242.0,103470.88,1241.17,13:04:28
RBLBANK,255.95,8827172.14,255.58,13:04:28
RCF,157.47,833819.1,157.45,13:04:28
RECLTD,394.35,4530677.29,395.17,13:04:28
REDINGTON,312.0,3034656.83,312.57,13:04:28
RELIANCE,1525.3,3589309.83,1526.69,13:04:28
RENUKA,33.32,1980270.57,33.3,13:04:28
RHIM,478.15,203288.0,478.0,13:04:28
RITES,290.3,2173057.71,290.88,13:04:32
RKFORGE,661.85,363249.33,663.41,13:04:32
ROUTE,1021.7,70614.5,1021.31,13:04:32
RPOWER,0.0,0.0,0.0,Never
RRKABEL,1410.3,76001.29,1401.98,12:58:29
RTNINDIA,61.4,4351915.38,61.47,13:04:32
RVNL,392.05,2292705.75,392.34,13:04:32
SAGILITY,42.76,32482829.0,42.76,12:58:30
SAIL,137.33,16966782.43,137.28,12:58:30
SAILIFE,789.3,530986.43,789.03,13:04:32
SAMMAANCAP,134.7,2829943.57,134.94,13:04:32
SAPPHIRE,320.65,32185.11,320.69,13:04:32
SARDAEN,433.5,83057.57,432.91,13:04:32
SAREGAMA,501.15,500024.43,500.77,13:04:32
SBFC,111.04,3372615.29,111.02,13:04:32
SBICARD,911.3,990966.67,908.41,13:04:32
SBILIFE,1813.0,346856.0,1816.3,13:04:32
SBIN,810.1,2730930.86,810.97,13:04:37
SCHAEFFLER,4029.1,15225.2,4032.01,13:04:37
SCHNEIDER,0.0,0.0,0.0,Never
SCI,222.43,868866.0,222.41,13:04:37
SHREECEM,31630.0,11786.86,31550.62,13:04:37
SHRIRAMFIN,674.7,2986703.43,675.04,12:52:43
SHYAMMETL,887.3,141637.86,886.81,12:58:33
SIEMENS,3322.6,270252.5,3300.33,12:58:33
SIGNATURE,1235.0,171906.14,1235.99,12:58:33
SJVN,99.26,2302261.0,99.38,13:04:37
SKFINDIA,5005.6,46793.14,4999.31,13:04:37
SOBHA,1497.6,189533.8,1493.07,13:04:37
SOLARINDS,16893.0,75179.89,16890.07,13:04:37
SONACOMS,480.0,737503.14,479.92,13:04:37
SONATSOFTW,407.05,288703.75,406.22,13:04:37
SRF,3236.0,262970.67,3244.8,13:04:37
STARHEALTH,418.0,495585.71,417.26,13:04:37
SUMICHEM,527.45,386603.8,527.81,13:04:41
SUNDARMFIN,5156.5,24705.5,5159.26,13:04:41
SUNDRMFAST,1053.8,67529.5,1056.36,13:04:41
SUNPHARMA,1680.9,640261.33,1683.78,13:04:41
SUNTV,587.2,57188.0,587.55,13:04:41
SUPREMEIND,4293.0,57692.5,4276.15,12:58:36
SUZLON,65.31,32718521.38,65.26,12:58:36
SWANENERGY,444.05,490499.0,442.09,12:58:36
SWIGGY,383.5,4256247.75,384.19,13:04:41
SWSOLAR,314.0,1199570.67,313.94,13:04:41
SYNGENE,639.1,144757.0,639.62,13:04:41
SYRMA,604.25,827431.22,602.09,13:04:41
TANLA,643.3,244843.38,642.77,13:04:41
TARIL,471.6,352206.75,471.47,13:04:41
TATACHEM,943.45,616939.4,942.77,13:04:41
TATACOMM,1774.7,733133.83,1779.88,13:04:41
TATACONSUM,1091.5,280976.25,1092.3,13:04:45
TATAELXSI,6256.0,44646.0,6237.43,13:04:45
TATAINVEST,6847.0,11299.33,6848.51,13:04:45
TATAMOTORS,695.75,5864208.0,694.95,12:52:49
TATAPOWER,400.4,5790972.83,400.62,13:04:45
TATASTEEL,166.94,32380248.75,166.84,13:04:45
TATATECH,710.4,521958.14,709.8,12:58:39
